Format Version,1.23,Take Name,Take 2025-12-17 06.35.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.35.01.503 PM,Capture Start Frame,10755390,Total Frames in Take,16256,Total Exported Frames,16256,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,ID,"1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
229,1.908000,1.890896,0.155690,-0.957130
230,1.917000,1.890240,0.155687,-0.956818
231,1.925000,1.889531,0.155808,-0.956936
232,1.933000,1.888947,0.155862,-0.957332
233,1.942000,1.888427,0.155885,-0.957926
234,1.950000,1.888134,0.155882,-0.958573
235,1.958000,1.888303,0.155990,-0.959198
236,1.967000,1.888836,0.156055,-0.959880
237,1.975000,1.889424,0.155903,-0.960387
238,1.983000,1.890147,0.155786,-0.960506
239,1.992000,1.890831,0.155825,-0.960239
240,2.000000,1.891375,0.155851,-0.959674
241,2.008000,1.891642,0.155801,-0.959043
242,2.017000,1.891617,0.155732,-0.958390
243,2.025000,1.891421,0.155757,-0.957789
244,2.033000,1.890913,0.155678,-0.957103
245,2.042000,1.890229,0.155699,-0.956837
246,2.050000,1.889543,0.155802,-0.956914
247,2.058000,1.888953,0.155888,-0.957327
248,2.067000,1.888412,0.155881,-0.957911
249,2.075000,1.888142,0.155892,-0.958535
250,2.083000,1.888291,0.156000,-0.959194
251,2.092000,1.888824,0.156069,-0.959853
252,2.100000,1.889423,0.155899,-0.960370
253,2.108000,1.890140,0.155796,-0.960496
254,2.117000,1.890824,0.155797,-0.960250
255,2.125000,1.891400,0.155830,-0.959678
256,2.133000,1.891677,0.155803,-0.959028
257,2.142000,1.891654,0.155716,-0.958359
258,2.150000,1.891446,0.155739,-0.957835
259,2.158000,1.890935,0.155685,-0.957134
260,2.167000,1.890262,0.155684,-0.956837
261,2.175000,1.889579,0.155809,-0.956906
262,2.183000,1.888981,0.155866,-0.957291
263,2.192000,1.888438,0.155860,-0.957879
264,2.200000,1.888182,0.155905,-0.958503
265,2.208000,1.888315,0.155986,-0.959172
266,2.217000,1.888818,0.156040,-0.959844
267,2.225000,1.889429,0.155874,-0.960367
268,2.233000,1.890132,0.155776,-0.960502
269,2.242000,1.890817,0.155793,-0.960244
270,2.250000,1.891404,0.155835,-0.959676
271,2.258000,1.891649,0.155815,-0.959056
272,2.267000,1.891643,0.155731,-0.958395
273,2.275000,1.891454,0.155750,-0.957820
274,2.283000,1.890950,0.155704,-0.957120
275,2.292000,1.890291,0.155678,-0.956826
276,2.300000,1.889601,0.155794,-0.956863
277,2.308000,1.888971,0.155841,-0.957317
278,2.317000,1.888452,0.155849,-0.957867
279,2.325000,1.888170,0.155887,-0.958515
280,2.333000,1.888283,0.155956,-0.959148
281,2.342000,1.888813,0.156044,-0.959828
282,2.350000,1.889397,0.155905,-0.960364
283,2.358000,1.890102,0.155784,-0.960510
284,2.367000,1.890799,0.155807,-0.960258
285,2.375000,1.891375,0.155844,-0.959690
286,2.383000,1.891654,0.155786,-0.959059
287,2.392000,1.891656,0.155732,-0.958393
288,2.400000,1.891444,0.155736,-0.957817
289,2.408000,1.890965,0.155710,-0.957138
290,2.417000,1.890304,0.155674,-0.956837
291,2.425000,1.889590,0.155808,-0.956884
292,2.433000,1.888992,0.155880,-0.957271
293,2.442000,1.888435,0.155839,-0.957851
294,2.450000,1.888166,0.155867,-0.958448
295,2.458000,1.888269,0.155962,-0.959114
296,2.467000,1.888776,0.156070,-0.959811
297,2.475000,1.889392,0.155940,-0.960350
298,2.483000,1.890077,0.155802,-0.960504
299,2.492000,1.890764,0.155804,-0.960274
300,2.500000,1.891332,0.155841,-0.959731
301,2.508000,1.891666,0.155823,-0.959102
302,2.517000,1.891661,0.155754,-0.958395
303,2.525000,1.891447,0.155778,-0.957875
304,2.533000,1.890980,0.155710,-0.957165
305,2.542000,1.890304,0.155614,-0.956801
306,2.550000,1.889596,0.155740,-0.956861
307,2.558000,1.889007,0.155823,-0.957230
308,2.567000,1.888454,0.155825,-0.957827
309,2.575000,1.888144,0.155835,-0.958459
310,2.583000,1.888260,0.155958,-0.959076
311,2.592000,1.888760,0.156036,-0.959806
312,2.600000,1.889352,0.155915,-0.960350
313,2.608000,1.890056,0.155790,-0.960512
314,2.617000,1.890754,0.155779,-0.960296
315,2.625000,1.891354,0.155830,-0.959734
316,2.633000,1.891645,0.155797,-0.959101
317,2.642000,1.891664,0.155740,-0.958456
