Format Version,1.23,Take Name,Take 2025-12-17 06.57.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.57.16.807 PM,Capture Start Frame,10915629,Total Frames in Take,40845,Total Exported Frames,40845,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036
,ID,"1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
213,1.775000,2.055019,0.194642,-0.985585,,,
214,1.783000,2.054981,0.194662,-0.985573,,,
215,1.792000,2.054990,0.194655,-0.985580,,,
216,1.800000,2.054987,0.194650,-0.985638,,,
217,1.808000,2.054975,0.194644,-0.985599,,,
218,1.817000,2.054974,0.194652,-0.985632,,,
219,1.825000,2.054961,0.194648,-0.985612,,,
220,1.833000,2.054963,0.194662,-0.985617,,,
221,1.842000,2.054967,0.194675,-0.985659,,,
222,1.850000,2.054985,0.194676,-0.985617,,,
223,1.858000,2.055008,0.194660,-0.985624,,,
224,1.867000,2.055015,0.194662,-0.985598,,,
225,1.875000,2.054999,0.194664,-0.985590,,,
226,1.883000,2.054999,0.194620,-0.985597,,,
227,1.892000,2.054971,0.194627,-0.985546,,,
228,1.900000,2.054993,0.194653,-0.985549,,,
229,1.908000,2.054957,0.194670,-0.985564,,,
230,1.917000,2.054968,0.194658,-0.985517,,,
231,1.925000,2.054995,0.194657,-0.985560,,,
232,1.933000,2.054941,0.194670,-0.985517,,,
233,1.942000,2.054964,0.194674,-0.985556,,,
234,1.950000,2.054955,0.194665,-0.985563,,,
235,1.958000,2.054932,0.194697,-0.985536,,,
236,1.967000,2.054976,0.194686,-0.985612,,,
237,1.975000,2.054990,0.194689,-0.985559,,,
238,1.983000,2.054999,0.194700,-0.985583,,,
239,1.992000,2.054988,0.194649,-0.985600,,,
240,2.000000,2.055005,0.194665,-0.985545,,,
241,2.008000,2.055010,0.194649,-0.985559,,,
242,2.017000,2.054975,0.194628,-0.985535,,,
243,2.025000,2.055003,0.194642,-0.985538,,,
244,2.033000,2.054965,0.194639,-0.985559,,,
245,2.042000,2.054991,0.194670,-0.985507,,,
246,2.050000,2.054988,0.194670,-0.985555,,,
247,2.058000,2.054968,0.194697,-0.985541,,,
248,2.067000,2.054976,0.194697,-0.985574,,,
249,2.075000,2.054962,0.194698,-0.985594,,,
250,2.083000,2.054964,0.194706,-0.985555,,,
251,2.092000,2.054985,0.194685,-0.985613,,,
252,2.100000,2.054962,0.194669,-0.985567,,,
253,2.108000,2.054989,0.194695,-0.985586,,,
254,2.117000,2.054992,0.194653,-0.985588,,,
255,2.125000,2.054995,0.194676,-0.985565,,,
256,2.133000,2.054990,0.194691,-0.985570,,,
257,2.142000,2.054966,0.194671,-0.985557,,,
258,2.150000,2.054982,0.194686,-0.985563,,,
259,2.158000,2.054969,0.194688,-0.985594,,,
260,2.167000,2.054971,0.194723,-0.985538,,,
261,2.175000,2.054984,0.194700,-0.985583,,,
262,2.183000,2.054955,0.194734,-0.985552,,,
263,2.192000,2.054972,0.194701,-0.985573,,,
264,2.200000,2.054972,0.194692,-0.985605,,,
265,2.208000,2.054952,0.194704,-0.985555,,,
266,2.217000,2.054999,0.194694,-0.985647,,,
267,2.225000,2.055000,0.194701,-0.985603,,,
268,2.233000,2.055001,0.194693,-0.985594,,,
269,2.242000,2.055021,0.194701,-0.985618,,,
270,2.250000,2.055018,0.194687,-0.985564,,,
271,2.258000,2.055017,0.194684,-0.985600,,,
272,2.267000,2.054973,0.194668,-0.985560,,,
273,2.275000,2.055004,0.194705,-0.985553,,,
274,2.283000,2.054993,0.194677,-0.985596,,,
275,2.292000,2.054993,0.194704,-0.985553,,,
